NEA_GrantNumber,NEA_FiscalYear,NEA_Office,NEA_Grantee,NEA_GranteeWebsite,NEA_GranteeAddressLine1,NEA_GranteeAddressLine2,NEA_GranteeCity,NEA_GranteeState,NEA_GranteeZipcode,NEA_GranteeLatitude,NEA_GranteeLongitude
10-7800-7028,2010,Challenge America Fast-Track Review,Puppet Theatre los Titiriteros (aka: ArcTisTics),www.arctistics.org,PO Box 1233,,Taos,NM,87571-1233,36.394724,-105.564848
10-7800-7029,2010,Challenge America Fast-Track Review,Trustees of Grinnell College (aka: Grinnell College),,"Corp., Fdn., & Govt. Relations",,Grinnell,IA,50112-1690,41.746312,-92.722535
10-7800-7030,2010,Challenge America Fast-Track Review,Billings Family YMCA Inc. (aka: YMCA Writer's Voice),,402 North 32nd,,Billings,MT,59101-1215,45.782468,-108.513376
10-7800-7031,2010,Challenge America Fast-Track Review,"Globe of the Great Southwest, Inc. (aka: The Globe Theatre)",www.globesw.org,2308 Shakespeare Road,,Odessa,TX,79761-1146,31.863889,-102.382648
10-7800-7032,2010,Challenge America Fast-Track Review,City of Asylum Pittsburgh (aka: City of Asylum/Pittsburgh),,330 Sampsonia Way,,Pittsburgh,PA,15212-4440,40.457165,-80.010614
10-7800-7033,2010,Challenge America Fast-Track Review,Portland Maine Symphony Orchestra (aka: Portland Symphony Orchestra),www.portlandsymphony.com,PO Box 3573,,Portland,ME,04104-3573,43.65828,-70.266644
10-7800-7034,2010,Challenge America Fast-Track Review,Indian Hill Arts Inc. (aka: Indian Hill),indianhillmusic.org,36 King Street,,Littleton,MA,01460-1519,42.539017,-71.510733
10-7800-7035,2010,Challenge America Fast-Track Review,Friends of Community Public Art (aka: FCPA),fcpaonline.org,310 N. Ottawa Street,,Joliet,IL,60432-4009,41.529961,-88.083115
10-7800-7036,2010,Challenge America Fast-Track Review,"VSA arts of Wisconsin, Inc. (aka: VSA)",www.vsawis.org,"1709 Aberg Avenue, Suite 1",,Madison,WI,53704-4207,43.114219,-89.363411
10-7800-7037,2010,Challenge America Fast-Track Review,"Mount Saint Mary College, New York",www.msmc.edu,330 Powell Avenue,,Newburgh,NY,12550-3412,41.512599,-74.014861
10-7800-7039,2010,Challenge America Fast-Track Review,"Fort Smith Symphony Association, Inc. (aka: Fort Smith Symphony)",www.fortsmithsymphony.org,P.O. Box 3151,,Fort Smith,AR,72913-3151,35.35115,-94.351075
10-7800-7040,2010,Challenge America Fast-Track Review,"Aequalis, Inc. (aka: The Core Ensemble)",www.core-ensemble.cc,1320 North Palmway,,Lake Worth,FL,33460-1902,26.631276,-80.049874
10-7800-7041,2010,Challenge America Fast-Track Review,"Lubbock Arts Alliance, Inc. (aka: Lubbock Arts Alliance)",www.lubbockarts.org,1717 Texas Avenue,,Lubbock,TX,79401-1800,33.579678,-101.845576
10-7800-7042,2010,Challenge America Fast-Track Review,St. Louis Classical Guitar Society (aka: Guitarstlouis),www.guitarstlouis.net,PO Box 11425,,Saint Louis,MO,63105-1425,38.648503,-90.333738
10-7800-7043,2010,Challenge America Fast-Track Review,Eastern Shore of Virginia Barrier Islands Center (aka: Barrier Islands Center),barrierislandscenter.com,P.O.Box 206,7295 Young St.,Machipongo,VA,23405-0206,37.411367,-75.94958
10-7800-7044,2010,Challenge America Fast-Track Review,"Carnegie Hall, Inc., a Corporation (aka: Carnegie Hall)",www.carnegiehallwv.com,105 Church Street,,Lewisburg,WV,24901-0130,37.80217,-80.448304
10-7800-7045,2010,Challenge America Fast-Track Review,Blue Mountain Arts Alliance,www.artwalla.com,382 Catherine Street,,Walla Walla,WA,99362-0192,46.064559,-118.332785
10-7800-7046,2010,Challenge America Fast-Track Review,"Ozark Foothills Filmfest, Inc.",,195 Peel Road,,Locust Grove,AR,72550-9723,35.686674,-91.774791
10-7800-7047,2010,Challenge America Fast-Track Review,Dayton Visual Arts Center (aka: DVAC),www.daytonvisualarts.org,118 N. Jefferson Street,,Dayton,OH,45402-1708,39.762096,-84.190631
10-7800-7048,2010,Challenge America Fast-Track Review,Danforth Museum Corporation (aka: Danforth Museum of Art),www.danforthmuseum.org,123 Union Avenue,,Framingham,MA,01702-8291,42.28128,-71.418581
10-7800-7049,2010,Challenge America Fast-Track Review,Asian Improv aRts Midwest (aka: n/a),www.airmw.org,1012 S. Kenilworth Avenue,,Oak Park,IL,60304-1915,41.870241,-87.796475
10-7800-7050,2010,Challenge America Fast-Track Review,"Stage Aurora Theatrical Company, Inc.",www.stageaurora.org,5164-A NORWOOD AVENUE,,Jacksonville,FL,32208-5020,30.371348,-81.663869
10-7800-7051,2010,Challenge America Fast-Track Review,"Free Arts for Abused Children of New York City, Inc. (aka: Free Arts NYC)",www.freeartsnyc.org,1431 Broadway,7th Floor,New York,NY,10018-1970,40.754401,-73.986874
10-7800-7052,2010,Challenge America Fast-Track Review,Rural Members Association Inc.,www.ruralmembers.org,PO Box 363,,Aliceville,AL,35442-0363,33.111373,-88.18498
10-7800-7053,2010,Challenge America Fast-Track Review,"ACA of Central Florida, Inc. (aka: Asian Cultural Association)",www.ACA-FL.org,2759 Marsh Wren Circle,,Longwood,FL,32779-3004,28.738206,-81.38591
10-7800-7054,2010,Challenge America Fast-Track Review,"Artist Series of Tallahassee, Inc. (aka: The Artist Series)",theartistseries.org,690 Industrial Drive,,Tallahassee,FL,32310-4806,30.433474,-84.29317
10-7800-7055,2010,Challenge America Fast-Track Review,United Arts Council of Collier County (aka: United Arts Council),www.collierarts.org,"1495 Pine Ridge Rd., #5",,Naples,FL,34109-2113,26.211433,-81.788523
10-7800-7056,2010,Challenge America Fast-Track Review,"Columbus Arts Council, Inc.",www.columbus-arts.com,P.O. Box 869,,Columbus,MS,39703-0869,33.534377,-88.427292
10-7800-7057,2010,Challenge America Fast-Track Review,"Gamut Theatre Group, Inc. (aka: Harrisburg Shakespeare Company)",www.gamutplays.org,605 Strawberry Square,3rd Floor,Harrisburg,PA,17101-1821,40.262754,-76.880022
10-7800-7058,2010,Challenge America Fast-Track Review,Art Museum of Southeast Texas (aka: AMSET),www.amset.org,500 Main Street,,Beaumont,TX,77701-3213,30.083911,-94.097456
10-7800-7059,2010,Challenge America Fast-Track Review,API Cultural Center (aka: Oakland Asian Cultural Center),www.oacc.cc,"388 Ninth Street, Suite 290",,Oakland,CA,94607-4295,37.800296,-122.271772
10-7800-7060,2010,Challenge America Fast-Track Review,"Moab Music Festival, Inc. (aka: Moab Music Festival)",,58 East 300 South,,Moab,UT,84532-2618,38.56865,-109.549595
10-7800-7061,2010,Challenge America Fast-Track Review,"Nai-Ni Chen Dance Company, Inc. (aka: Nai-Ni Chen Dance Company)",www.nainichen.org,PO Box 1121,,Fort Lee,NJ,07024-9999,40.851452,-73.973847
10-7800-7062,2010,Challenge America Fast-Track Review,Craft & Folk Art Museum Incorporating the Egg and the Eye (aka: Craft and Folk Art Museum),www.cafam.org,5814 Wilshire Blvd,,Los Angeles,CA,90036-4501,34.062376,-118.35528
10-7800-7063,2010,Challenge America Fast-Track Review,Frostburg State University,ces.frostburg.edu,1 Stadium Drive,511 Ort Library-Sponsored Prog,Frostburg,MD,21532-2342,39.658942,-78.932162
10-7800-7064,2010,Challenge America Fast-Track Review,University of Alabama at Birmingham,www.alysstephens.org,"1530 3rd Ave S.,  AB 1170",Grants & Contracts Admin.,Birmingham,AL,35294-0111,33.506881,-86.809136
10-7800-7065,2010,Challenge America Fast-Track Review,"Foundation for the California State University, San Bernardino",,Sponsored Programs Admin.,5500 University Parkway,San Bernardino,CA,92407-2397,34.177991,-117.32817
10-7800-7172,2010,Challenge America Fast-Track Review,University of Utah,www.kingsburyhall.utah.edu,Office of Sponsored Projects,1471 East Federal Way,Salt Lake City,UT,84102-1821,40.764156,-111.866779
10-7800-7066,2010,Challenge America Fast-Track Review,Northern Wyoming Community College District (aka: Gillette College),www.gillettecollege.org,3059 Coffeen Avenue,P.O. Box 1500,Sheridan,WY,82801-1500,44.763865,-106.944847
10-7800-7067,2010,Challenge America Fast-Track Review,Building Bridges Across the River (aka: THEARC Theater),www.thearcdc.org,"1901 Mississippi Avenue, SE",,Washington,DC,20020-6117,38.843776,-76.976712
10-7800-7068,2010,Challenge America Fast-Track Review,Ohio Northern University,www.freedcenter.com,525 S. Main Street,,Ada,OH,45810-1599,40.766317,-83.82318
10-7800-7069,2010,Challenge America Fast-Track Review,Georgia College & State University,,"Admin. Services, CB 021",231 W. Hancock St.,Milledgeville,GA,31061-3375,33.090622,-83.234971
10-7800-7071,2010,Challenge America Fast-Track Review,State Historical Society of Iowa,www.iowahistory.org,State Historical Building,600 East Locust Street,Des Moines,IA,50319-0290,41.592205,-93.603948
10-7800-7072,2010,Challenge America Fast-Track Review,"City of Evanston, Illinois",www.cityofevanston.org/departments/parks/cultural,2100 Ridge Avenue,,Evanston,IL,60201-2798,42.055759,-87.686945
10-7800-7073,2010,Challenge America Fast-Track Review,"Leigh Yawkey Woodson Art Museum, Inc. (aka: Woodson Art Museum)",www.lywam.org,700 North 12th Street,,Wausau,WI,54403-5007,44.962291,-89.612878
10-7800-7074,2010,Challenge America Fast-Track Review,"Musical Chairs Chamber Ensemble, Inc. (aka: MCCE)",www.mcensemble.org,850 Howard Avenue #1J,,Staten Island,NY,10301-4445,40.612746,-74.098363
10-7800-7075,2010,Challenge America Fast-Track Review,Pascua Yaqui Tribe of Arizona,www.pascuayaquitribe.org,7490 S. Camino de Oeste,,Tucson,AZ,85757-0000,32.116111,-111.063177
10-7800-7076,2010,Challenge America Fast-Track Review,Metropolitan Community College,www.mccneb.edu,PO Box 3777,,Omaha,NE,68103-0777,41.249145,-95.930369
10-7800-7077,2010,Challenge America Fast-Track Review,CubaNOLA Collective (aka: CUBANOLA ARTS COLLECTIVE),http://www.cubanola.org/,P.O. Box 53243,,New Orleans,LA,70153-3243,29.948844,-90.07639
10-7800-7078,2010,Challenge America Fast-Track Review,"Cool Culture, Inc. (aka: Cool Culture)",www.coolculture.org,"80 Hanson Place, Suite 604",,Brooklyn,NY,11217-1508,40.685491,-73.974377
10-7800-7080,2010,Challenge America Fast-Track Review,"San Francisco Chamber Orchestra, Inc.",,P.O. Box 191564,,San Francisco,CA,94119-1564,37.790225,-122.39809
10-7800-7082,2010,Challenge America Fast-Track Review,Milwaukee Public Theatre,www.milwaukeepublictheatre.org,626 E. Kilbourn Av. #802,,Milwaukee,WI,53202-3237,43.042742,-87.904008
10-7800-7083,2010,Challenge America Fast-Track Review,"Mallarme Chamber Players, Inc. (aka: Mallarm̩ Chamber Players)",www.mallarmemusic.org,120 Morris St,,Durham,NC,27701-3230,35.997193,-78.903838
10-7800-7084,2010,Challenge America Fast-Track Review,Greater Pensacola Symphony Orchestra (aka: Pensacola Symphony Orchestra),www.pensacolasymphony.com,205 East Zaragoza Street,,Pensacola,FL,32502-6048,30.413016,-87.222887
10-7800-7085,2010,Challenge America Fast-Track Review,Birmingham International Festival (aka: BIF),www.bic-al.org,1728 5th Avenue North,,Birmingham,AL,35203-2023,33.516325,-86.811897
10-7800-7086,2010,Challenge America Fast-Track Review,Headwaters Dance Co.,www.headwatersdance.org,P.O. Box 9356,,Missoula,MT,59807-9356,46.871852,-113.993154
10-7800-7087,2010,Challenge America Fast-Track Review,"Abhinaya Dance Company of San Jose, Inc. (aka: Abhinaya Dance Company)",,"4950 Hamilton Ave., Suite 105",,San Jose,CA,95130-1748,37.289863,-121.988277
10-7800-7088,2010,Challenge America Fast-Track Review,Su Teatro (aka: Su Teatro Cultural and Performing Arts Center),www.suteatro.org,721 Santa Fe Drive,,Denver,CO,80204-4428,39.727736,-104.99864
10-7800-7089,2010,Challenge America Fast-Track Review,"Sierra Repertory Theatre, Inc. (aka: Sierra Rep)",www.sierrarep.org,13891 Mono Way,,Sonora,CA,95370-8864,37.978115,-120.328628
10-5100-8002,2010,Learning in the Arts for Children & Youth,"Alaska Arts Southeast, Inc. (aka: Sitka Fine Arts Camp)",www.fineartscamp.org,PO Box 3086,,Sitka,AK,99835-3086,57.059633,-135.336481
10-5100-8003,2010,Learning in the Arts for Children & Youth,"Hmong Cultural Arts, Crafts, Teaching & Museum Projects (aka: Hmong Cultural Arts)",chamy1234@hotmail.com,P.O.BOX 162894,,Sacramento,CA,95816-9904,38.565586,-121.468353
10-5100-8004,2010,Learning in the Arts for Children & Youth,National Dance Institute New Mexico (aka: NDI-NM),www.ndi-nm.org,1140 Alto Street,,Santa Fe,NM,87501-2596,35.684386,-105.963468
10-7800-7090,2010,Challenge America Fast-Track Review,Mountain Valley Arts Council,,300 Gunter Avenue,,Guntersville,AL,35976-1129,34.361445,-86.292196
10-7800-7091,2010,Challenge America Fast-Track Review,"Iowa Trails Council, Inc.",,1201 Central Ave.,,Center Point,IA,52213-0131,42.195384,-91.781064
10-7800-7092,2010,Challenge America Fast-Track Review,Hamilton Hill Drop-in Arts & Crafts Center (aka: Hamiltom Hill Arts Center),,409 Schenectady Street,,Schenectady,NY,12307-1712,42.805617,-73.940426
10-7800-7093,2010,Challenge America Fast-Track Review,"City of Vista, California",,200 Civic Center Drive,,Vista,CA,92084-6275,33.20237,-117.235587
10-7800-7095,2010,Challenge America Fast-Track Review,"Susquehanna Folk Music Society, Inc. (aka: Susquehanna Folk)",www.sfmsfolk.org,378 Old York Road,,New Cumberland,PA,17070-3152,40.196569,-76.843804
10-7800-7096,2010,Challenge America Fast-Track Review,"Stecoah Valley Arts, Crafts & Educational Center, Inc. (aka: Stecoah Valley Cultural Arts Center)",www.StecoahValleyCenter.com,121 Schoolhouse Road,,Robbinsville,NC,28771-9628,35.367984,-83.693488
10-5100-8260,2010,Learning in the Arts for Children & Youth,Settlement Music School of Philadelphia (aka: Settlement Music School),www.smsmusic.org,416 Queen Street,,Philadelphia,PA,19147-3699,39.937616,-75.150624
10-7800-7097,2010,Challenge America Fast-Track Review,Children's Museum of Manhattan (aka: CMOM),www.cmom.org,212 West 83rd Street,,New York,NY,10024-4901,40.785915,-73.976912
10-7800-7098,2010,Challenge America Fast-Track Review,Fargo Moorhead Opera Company (aka: Fargo-Moorhead Opera),www.fmopera.org,114 Broadway Suite S1,,Fargo,ND,58102-4942,46.877163,-96.787681
10-7800-7099,2010,Challenge America Fast-Track Review,Neighborhood Writing Alliance (aka: NWA),www.jot.org,1313 E. 60th Street,Room 238,Chicago,IL,60637-2830,41.785928,-87.592795
10-7800-7100,2010,Challenge America Fast-Track Review,Huntingdon County Arts Council,www.huntingdoncountyarts.org,P.O. Box 216,212 4th Street,Huntingdon,PA,16652-1234,40.485062,-78.020002
10-5100-8005,2010,Learning in the Arts for Children & Youth,"Howard County Arts Council, Inc. (aka: Howard County Arts Council)",,8510 High Ridge Road,,Ellicott City,MD,21043-3308,39.291442,-76.806376
10-7800-7101,2010,Challenge America Fast-Track Review,Judy Dworin Performance Project Inc. (aka: JDPP),www.judydworin.org,City Arts on Pearl,233 Pearl Street,Hartford,CT,06103-2100,41.766824,-72.674631
10-7800-7102,2010,Challenge America Fast-Track Review,Northwest Symphony Orchestra,northwestsymphonyorchestra.org,P.O. Box 16231,,Seattle,WA,98116-0231,47.572111,-122.395512
10-7800-7103,2010,Challenge America Fast-Track Review,"Miami Art Museum of Dade County Association, Inc. (aka: Miami Art Museum)",www.miamiartmuseum.org,101 West Flagler St.,,Miami,FL,33130-1541,25.774072,-80.196383
10-7800-7104,2010,Challenge America Fast-Track Review,VSA arts of Ohio (aka: Very Special Arts),www.vsao.org,77 South High Street,2nd Floor,Columbus,OH,43215-6108,40.018567,-82.878357
10-7800-7105,2010,Challenge America Fast-Track Review,Island Moving Company,www.islandmovingco.org,PO Box 746,,Newport,RI,02840-0007,41.487587,-71.313857
10-7800-7106,2010,Challenge America Fast-Track Review,Union County College Foundation,,1033 Springfield Avenue,,Cranford,NJ,07016-1528,40.669286,-74.318932
10-5100-8006,2010,Learning in the Arts for Children & Youth,"Bardavon 1869 Opera House, Inc. (aka: The Bardavon)",www.bardavon.org,35 Market Street,,Poughkeepsie,NY,12601-3214,41.703099,-73.929256
10-7800-7107,2010,Challenge America Fast-Track Review,Hesston College,,Box 3000,,Hesston,KS,67062-2093,38.14116,-97.4302
10-7800-7108,2010,Challenge America Fast-Track Review,"Montgomery County Community College, Pennsylvania",www.mc3.edu,340 DeKalb Pike,,Blue Bell,PA,19422-1412,40.179406,-75.277802
10-7800-7109,2010,Challenge America Fast-Track Review,"Puppet Showplace, Inc. (aka: Puppet Showplace Theatre)",www.puppetshowplace.org,32 Station Street,,Brookline,MA,02445-7938,42.332646,-71.11729
10-7800-7110,2010,Challenge America Fast-Track Review,"School Board of Alachua County, Florida (aka: Alachua County District School Board)",www.sbac.edu,620 East University Avenue,,Gainesville,FL,32601-5448,29.651955,-82.318842
10-7800-7111,2010,Challenge America Fast-Track Review,Northern Michigan University,,1401 Presque Isle Avenue,Grants & Research Office,Marquette,MI,49855-5301,46.55675,-87.396258
10-7800-7112,2010,Challenge America Fast-Track Review,William Paterson College of New Jersey,www.wpunj.edu,300 Pompton Road,,Wayne,NJ,07470-2103,40.944273,-74.2027
10-7800-7113,2010,Challenge America Fast-Track Review,VSA arts of Washington (aka: VSA Washington),www.vsaaw.org,"305 Harrison Street, #303",,Seattle,WA,98109-4623,47.622089,-122.348589
10-7800-7114,2010,Challenge America Fast-Track Review,"Whole Children, Inc.",www.wholechildren.org,8 River Drive,,Hadley,MA,01035-3540,42.351226,-72.588818
10-7800-7115,2010,Challenge America Fast-Track Review,Siskiyou Performing Arts Center (aka: SPAC),www.siskiyouspac.org,315 Yreka Street,PO BOX 407,Yreka,CA,96097-2007,41.726314,-122.639751
10-7800-7116,2010,Challenge America Fast-Track Review,Old Town Business & Art Development Association (aka: MICA (Michigan Institute for Contemporary Art),www.oldtownarts.org,1210 Turner Street,,Lansing,MI,48906-4340,42.747722,-84.549492
10-7800-7117,2010,Challenge America Fast-Track Review,Northwestern State University of Louisiana,www.nsula.edu,Research & Sponsored Programs,140 Central Avenue,Natchitoches,LA,71497-0001,31.749314,-93.096113
10-7800-7118,2010,Challenge America Fast-Track Review,Hill City Area Arts Council,hillcityarts.org,PO Box 321,,Hill City,SD,57745-0321,43.955152,-103.593957
10-7800-7119,2010,Challenge America Fast-Track Review,"Museum-Greenwood, South Carolina",www.greenwoodmuseum.org,PO Box 3131,,Greenwood,SC,29648-0000,34.189709,-82.158565
10-7800-7120,2010,Challenge America Fast-Track Review,"Morgan Arts Council, Inc.",www.macicehouse.org,PO Box 248,,Berkeley Springs,WV,25411-0248,39.587213,-78.224881
10-7800-7121,2010,Challenge America Fast-Track Review,"Foundations, Inc. (aka: Foundations)",www.foundationsinc.org,2 Executive Drive,Suite 1,Moorestown,NJ,08057-4223,39.969655,-74.990285
10-7800-7122,2010,Challenge America Fast-Track Review,"Athens-Clarke County, Georgia",www.accleisureservices.com,293 Hoyt Street,,Athens,GA,30601-2648,33.963649,-83.376273
10-7800-7124,2010,Challenge America Fast-Track Review,La Raza Galeria Posada (aka: La Raza Galer�a Posada),www.larazagaleriaposada.org,2700 Front St.,,Sacramento,CA,95818-1121,38.565384,-121.514788
10-7800-7125,2010,Challenge America Fast-Track Review,Marlboro Civic Center Foundation (aka: Marlboro Civic center),www.marlborociviccenter.org,106 Clyde St,P.O. Box 1,Bennettsville,SC,29512-3118,34.617564,-79.68254
10-7800-7126,2010,Challenge America Fast-Track Review,"Ogdensburg Command Performances, Inc. (aka: OCP)",ilovetheatre.org,1100 State Street,Ogdensburg Free Academy,Ogdensburg,NY,13669-0000,44.688908,-75.485587
10-7800-7127,2010,Challenge America Fast-Track Review,Abilene Arts Alliance,,1101 N 1st Street,,Abilene,TX,79601-5810,32.449466,-99.734438
10-7800-7129,2010,Challenge America Fast-Track Review,Engage Inc. (aka: EngAGE: The Art of Active Aging),,240 E. Verdugo Avenue,Suite 100,Burbank,CA,91502-1390,34.179192,-118.305176
10-7800-7130,2010,Challenge America Fast-Track Review,William James Association (aka: On Site),williamjamesassociation.org,P.O. Box 1632,,Santa Cruz,CA,95061-1632,36.976164,-122.026339
10-7800-7131,2010,Challenge America Fast-Track Review,Sprout,www.gosprout.org,270 West 96th Street,,New York,NY,10025-6205,40.794912,-73.972436
10-7800-7132,2010,Challenge America Fast-Track Review,"City Arts, Inc.",,"614 S Street, NW",,Washington,DC,20001-0000,38.914075,-77.020565
10-5100-8007,2010,Learning in the Arts for Children & Youth,"Inside Out Community Arts, Inc.",www.insideoutca.org,608 Venice Boulevard,,Venice,CA,90291-4801,33.989382,-118.461818
10-7800-7134,2010,Challenge America Fast-Track Review,"Girls Write Now, Inc. (aka: Girls Write Now)",www.girlswritenow.org,247 West 37th Street,Suite 1800,New York,NY,10018-5047,40.753495,-73.990572
10-7800-7135,2010,Challenge America Fast-Track Review,Salina Arts and Humanities Commission,,P.O. Box 2181,,Salina,KS,67401-2181,38.844288,-97.616178
10-7800-7136,2010,Challenge America Fast-Track Review,3rd I South Asian Independent Film (aka: 3rd i Films),www.thirdi.org/~sf,992 Valencia Street,,San Francisco,CA,94110-2322,37.757077,-122.421163
10-7800-7137,2010,Challenge America Fast-Track Review,Fairbanks Arts Association,,P.O. Box 72786,,Fairbanks,AK,99707-2786,64.842551,-147.724559
10-7800-7138,2010,Challenge America Fast-Track Review,Karamu House,www.karamu.com,2355 East 89th Street,,Cleveland,OH,44106-3403,41.494996,-81.624474
10-7800-7139,2010,Challenge America Fast-Track Review,"Second Generation Productions, Inc. (aka: ""2g"")",www.2g.org,80-17 Bell Blvd,,Hollis Hills,NY,11427-1039,40.728964,-73.74724
10-7800-7140,2010,Challenge America Fast-Track Review,"Mid Texas Symphony Society, Inc. (aka: Mid-Texas Symphony)",www.mtsymphony.org,P.O. Box 3216-TLU,1000 W. Court St.,Seguin,TX,78155-5978,29.562197,-97.965271
10-7800-7141,2010,Challenge America Fast-Track Review,"Great Falls Symphony Association, Inc. (aka: Great Falls Symphony)",www.gfsymphony.org,11 3rd St. N,PO Box 1078,Great Falls,MT,59401-3103,47.50554,-111.302536
10-7800-7142,2010,Challenge America Fast-Track Review,South Dakota Symphony Orchestra,www.sdsymphony.org,301 South Main Ave,,Sioux Falls,SD,57104-6311,43.544572,-96.728304
10-7800-7143,2010,Challenge America Fast-Track Review,Waterfront Festival (aka: Waterfront Film Festival),www.waterfrontfilm.org,P.O. Box 387,,Saugatuck,MI,49453-0387,42.660286,-86.198946
10-5100-8008,2010,Learning in the Arts for Children & Youth,Henry Street Settlement (aka: Abrons Arts Center),,265 Henry Street,,New York,NY,10002-4808,40.713893,-73.984263
10-7800-7144,2010,Challenge America Fast-Track Review,Opera Lafayette,www.operalafayette.org,10 Fourth Street NE,,Washington,DC,20002-5930,38.88997,-77.000595
10-7800-7145,2010,Challenge America Fast-Track Review,Madison Park Development Corporation (aka: ACT Roxbury),www.madison-park.org,"184 Dudley Street, Suite 102",,Roxbury,MA,02119-2561,42.328548,-71.08213
10-7800-7146,2010,Challenge America Fast-Track Review,"Arts Council of Greater Baton Rouge, Inc.",,427 Laurel St.,,Baton Rouge,LA,70801-1810,30.450435,-91.186728
10-7800-7147,2010,Challenge America Fast-Track Review,Pennsylvania Youth Theatre (aka: PYT),www.123pyt.org,25 W 3rd ST,,Bethlehem,PA,18015-1238,40.61193,-75.379625
10-5100-8009,2010,Learning in the Arts for Children & Youth,Perlman Music Program Inc.,www.perlmanmusicprogram.org,19 West 69th Street,Suite 304,New York,NY,10023-4750,40.774587,-73.97807
10-7800-7148,2010,Challenge America Fast-Track Review,Methow Music Festival Association (aka: Methow Valley Chamber Music Festival-Methow M),www.MethowMusicFestival.org,PO Box 249,,Winthrop,WA,98862-0249,48.499764,-120.20626
10-7800-7149,2010,Challenge America Fast-Track Review,"Rockford Symphony Orchestras, Inc. (aka: Rockford Symphony Orchestra)",,711 North Main St.,,Rockford,IL,61103-6982,42.276927,-89.089906
10-5100-8010,2010,Learning in the Arts for Children & Youth,"Wingspan Arts, Inc. (aka: Wingspan Arts)",www.wingspanarts.org,"630 9th Avenue, Suite 410",,New York,NY,10036-4750,40.760003,-73.991457
10-7800-7151,2010,Challenge America Fast-Track Review,"Chamber Music Society of St. Cloud, Inc. (aka: Chamber Music Society of St. Cloud)",,PO Box 205,,Saint Cloud,MN,56302-0205,45.561028,-94.164516
10-7800-7152,2010,Challenge America Fast-Track Review,Ananya Dance Theatre,,500 21st Avenue South,,Minneapolis,MN,55455-0417,44.968771,-93.242518
10-7800-7153,2010,Challenge America Fast-Track Review,University of Idaho,http://www.uidaho.edu/,Office of Sponsored Programs,P.O. Box 443020,Moscow,ID,83844-3020,46.732253,-117.012257
10-7800-7154,2010,Challenge America Fast-Track Review,St. Clair County Community College,www.sc4.edu,323 Erie Street,,Port Huron,MI,48061-5015,42.977937,-82.427336
10-7800-7155,2010,Challenge America Fast-Track Review,University of Illinois at Springfield,www.uis.edu,Grants and Contracts Office,"1 University Plaza, MS PAC 525",Springfield,IL,62703-5407,39.730154,-89.616889
10-7800-7156,2010,Challenge America Fast-Track Review,Washington University,www.edisontheatre.wustl.edu,"One Brookings Drive, CB 1054",Sponsored Project Services,St. Louis,MO,63130-4899,38.648071,-90.303828
10-7800-7157,2010,Challenge America Fast-Track Review,Nebraska State Historical Society (aka: shares TIN 47-0491233),www.nebraskahistory.org,1500 R Street,PO Box 82554,Lincoln,NE,68501-2554,40.816934,-96.699606
10-7800-7173,2010,Challenge America Fast-Track Review,Riverside Community College District Foundation,www.performanceriverside.org,4800 Magnolia Avenue,,Riverside,CA,92506-1299,33.971329,-117.384832
10-7800-7158,2010,Challenge America Fast-Track Review,"Kaisahan of San Jose (aka: Kaisahan of San Jose Dance Company,Inc.)",www.kaisahan.org,1677 Park Avenue,,San Jose,CA,95126-2123,37.333405,-121.923428
10-7800-7159,2010,Challenge America Fast-Track Review,Colorado Humanities (aka: CH),,7935 E. Prentice Avenue,Suite 450,Greenwood Villag,CO,80111-2708,39.620494,-104.896222
10-7800-7160,2010,Challenge America Fast-Track Review,"Good Community Alliance, Inc. (aka: Community Stepping Stones, Inc.)",www.communitysteppingstones.net,PO Box 8267,,Tampa,FL,33674-8267,28.00889,-82.451278
10-7800-7161,2010,Challenge America Fast-Track Review,"Jazz House Kids, Inc.",www.jazzhousekids.org,623 Eagle Rock Avenue,Suite 118,West Orange,NJ,07052-2948,40.809787,-74.257506
10-7800-7162,2010,Challenge America Fast-Track Review,Horse Cave Development Corporation,horsecavedevelopmentcorp.com/,821 Eastside Drive,,Horse Cave,KY,42749-1821,37.179726,-85.891507
10-7800-7163,2010,Challenge America Fast-Track Review,"Oakland Interfaith Gospel Choir, Inc. (aka: OIGC)",www.oigc.org,"655 13th Street, Suite 301",,Oakland,CA,94612-1272,37.805542,-122.276539
10-7800-7164,2010,Challenge America Fast-Track Review,"3rd EyE Youth Empowerment, Inc. (aka: 3rd EyE Unlimited)",www.3rdeyeunlimited.com,28 Union St.,,New Bedford,MA,02740-1473,41.634569,-70.922219
10-7800-7165,2010,Challenge America Fast-Track Review,Asian Pacific Islander Cultural Center (aka: APICC),www.apiculturalcenter.org,934 Brannan St.,,San Francisco,CA,94103-4906,37.770667,-122.406266
10-7800-7166,2010,Challenge America Fast-Track Review,San Jose Multicultural Artists Guild Inc. (aka: SJMAG),www.sjmag.org,1677 Park Avenue,,San Jose,CA,95126-2123,37.333405,-121.923428
10-7800-7167,2010,Challenge America Fast-Track Review,"International Institute for Indigenous Resource Management, Inc.",,444 South Emerson Street,,Denver,CO,80209-2216,39.708446,-104.976899
10-7800-7168,2010,Challenge America Fast-Track Review,"Paducah Symphony Orchestra, Inc. (aka: PSO)",www.paducahsymphony.org,201 Broadway,,Paducah,KY,42001-0706,37.087781,-88.59552
